nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,crop,season,waterRequirement
31.33,25.41,22.28,24.79,51.2,7.35,106.99,Soybean,Summer,Moderate
43.15,25.96,16.56,24.66,71.93,6.81,97.23,Soybean,Summer,Moderate
54.98,53.8,35.65,24.22,72.12,6.84,162.3,Maize,Summer,High
48.13,30.8,33.93,21.56,59.81,6.22,105.57,Wheat,Spring,Moderate
49.58,36.64,26.49,18.89,43.44,6.16,118.13,Wheat,Spring,Moderate
61.77,47.33,38.53,29.53,69.4,5.91,218.59,Rice,Monsoon,High
58.3,55.47,43.77,22.15,46.7,5.92,108.82,Maize,Summer,High
40.9,35.52,37.23,24.45,74.0,6.04,162.53,Maize,Summer,High
66.11,46.1,45.4,23.9,46.47,5.66,175.04,Maize,Summer,High
34.94,32.02,28.37,23.96,43.4,6.04,126.74,Wheat,Spring,Moderate
21.91,17.31,21.18,27.45,71.32,6.93,103.63,Soybean,Summer,Moderate
31.21,21.76,30.96,21.44,55.49,7.02,138.48,Soybean,Summer,Moderate
51.86,33.55,24.71,23.96,53.53,6.53,116.48,Wheat,Spring,Moderate
41.57,18.34,21.16,19.62,63.89,6.86,106.92,Soybean,Summer,Moderate
20.66,24.63,24.24,22.34,58.04,6.74,97.11,Soybean,Summer,Moderate
58.04,38.81,39.7,23.18,62.31,5.89,162.49,Rice,Monsoon,High
59.0,34.65,25.23,29.28,49.23,5.72,193.59,Maize,Summer,High
72.91,60.72,30.79,26.96,68.78,5.94,148.98,Rice,Monsoon,High
40.2,50.0,58.46,25.01,72.95,5.76,159.49,Rice,Monsoon,High
75.53,59.76,38.36,31.29,78.81,5.86,122.14,Rice,Monsoon,High
38.92,28.51,27.49,20.04,44.54,6.18,119.16,Wheat,Spring,Moderate
26.86,27.74,33.74,23.66,56.55,6.15,135.62,Soybean,Summer,Moderate
24.89,17.42,31.14,19.52,52.71,6.48,109.63,Soybean,Summer,Moderate
73.77,47.59,53.88,23.41,69.18,6.04,229.54,Rice,Monsoon,High
42.25,60.94,32.91,26.72,81.15,5.55,167.73,Rice,Monsoon,High
58.04,39.77,53.69,29.19,64.95,6.76,126.54,Rice,Monsoon,High
60.21,63.82,49.69,31.98,68.19,5.52,181.83,Rice,Monsoon,High
44.76,30.93,32.62,23.34,71.94,5.5,189.59,Maize,Summer,High
28.94,27.62,33.49,22.27,59.66,6.66,133.85,Soybean,Summer,Moderate
51.07,33.99,45.7,24.47,48.5,6.96,195.0,Maize,Summer,High
59.63,42.9,48.28,24.73,60.18,5.66,122.37,Rice,Monsoon,High
23.7,30.34,30.99,19.44,51.15,7.39,111.91,Soybean,Summer,Moderate
27.48,21.47,15.11,18.4,66.77,6.2,103.44,Soybean,Summer,Moderate
54.7,60.35,50.23,30.52,80.46,6.58,216.23,Rice,Monsoon,High
67.09,54.16,31.92,22.69,47.9,6.12,154.35,Maize,Summer,High
43.82,42.11,46.01,28.35,77.21,6.8,157.1,Rice,Monsoon,High
53.94,56.0,40.48,27.59,72.61,5.97,130.99,Rice,Monsoon,High
48.67,41.07,43.52,25.62,61.57,6.86,169.67,Maize,Summer,High
47.33,58.56,41.48,27.52,68.93,6.69,142.23,Rice,Monsoon,High
64.64,63.96,59.72,27.39,63.28,6.26,138.15,Rice,Monsoon,High
41.47,20.43,29.48,19.49,64.07,6.74,86.65,Soybean,Summer,Moderate
31.98,20.61,34.44,27.3,57.87,7.32,132.86,Soybean,Summer,Moderate
36.7,56.12,47.46,21.44,54.0,6.42,134.33,Maize,Summer,High
55.72,51.44,44.48,29.24,66.04,6.23,150.71,Maize,Summer,High
35.81,21.25,21.99,23.49,71.59,6.77,102.42,Soybean,Summer,Moderate
23.01,17.39,22.28,19.56,57.61,7.38,103.66,Soybean,Summer,Moderate
46.82,36.09,36.16,29.6,72.61,6.55,103.43,Maize,Summer,High
66.44,48.86,53.05,31.13,87.12,5.86,169.61,Rice,Monsoon,High
43.01,21.7,17.79,25.77,59.48,6.02,101.27,Soybean,Summer,Moderate
52.44,33.12,36.21,21.35,58.94,6.46,106.86,Wheat,Spring,Moderate
26.09,27.27,18.39,22.75,72.79,7.46,134.71,Soybean,Summer,Moderate
52.15,28.8,38.18,24.39,64.84,6.23,100.6,Wheat,Spring,Moderate
33.9,30.84,24.7,20.41,51.98,6.6,140.22,Wheat,Spring,Moderate
53.83,29.03,31.5,21.44,61.1,6.99,131.84,Wheat,Spring,Moderate
64.94,36.98,51.41,23.73,54.14,6.55,103.34,Maize,Summer,High
40.34,52.23,34.03,29.15,51.41,5.87,161.1,Maize,Summer,High
28.7,15.72,24.35,22.85,72.28,6.74,97.11,Soybean,Summer,Moderate
52.11,36.49,40.13,22.34,62.77,6.06,240.85,Rice,Monsoon,High
70.75,51.74,42.22,24.14,83.89,6.26,208.11,Rice,Monsoon,High
55.72,62.2,55.53,23.06,69.45,6.29,207.15,Rice,Monsoon,High
20.73,22.52,16.01,18.33,57.4,7.01,95.07,Soybean,Summer,Moderate
36.59,33.18,33.74,23.39,55.64,6.8,107.47,Soybean,Summer,Moderate
51.08,35.54,21.25,19.03,69.18,6.37,116.37,Wheat,Spring,Moderate
52.61,40.18,43.99,26.2,64.68,6.07,141.45,Rice,Monsoon,High
30.78,29.2,37.1,21.22,44.06,6.7,90.67,Wheat,Spring,Moderate
55.76,41.16,29.35,18.08,50.76,6.42,113.83,Wheat,Spring,Moderate
48.56,33.12,21.82,18.72,43.86,6.51,128.43,Wheat,Spring,Moderate
29.53,19.3,23.78,27.06,62.6,6.74,81.6,Soybean,Summer,Moderate
57.37,59.01,46.37,26.71,79.58,6.63,143.93,Rice,Monsoon,High
52.35,27.21,29.51,25.86,41.06,6.95,149.17,Wheat,Spring,Moderate
35.49,38.2,50.32,28.24,46.56,6.34,137.75,Maize,Summer,High
58.95,35.9,36.01,25.68,58.05,6.95,147.13,Wheat,Spring,Moderate
